meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
Edinburgh International 2017,02:01.89,11/03/2017,Men 200 Butterfly LCM Male,JAM,Jamaica,"GUNNING, Michael James",M,29/04/1994,,,26,26,765,Edinburgh,NED
British Gas National Championships (50m),02:02.00,26/06/2013,Men 200 Butterfly LCM Male,JAM,Jamaica,"GUNNING, Michael James",M,29/04/1994,,,27,27,763,Sheffield,GBR
Edinburgh International,02:02.02,01/03/2018,Men 200 Butterfly LCM Male,JAM,Jamaica,"GUNNING, Michael James",M,29/04/1994,,,28,28,763,Edinburgh,GBR
BUCS Long Course 2015,02:02.27,22/02/2015,Men 200 Butterfly LCM Male,JAM,Jamaica,"GUNNING, Michael James",M,29/04/1994,,,29,29,758,Sheffield,GBR
British Gas Nat Youth MC Championships 2012,02:02.51,17/07/2012,Men 200 Butterfly LCM Male,JAM,Jamaica,"GUNNING, Michael James",M,29/04/1994,,,30,30,754,Sheffield,GBR
18th Pan American Games 2019,02:02.73,06/08/2019,Men 200 Butterfly LCM Male,JAM,Jamaica,"GUNNING, Michael James",M,29/04/1994,,,31,31,750,Lima,PER
18th FINA World Championships 2019,02:02.89,23/07/2019,Men 200 Butterfly LCM Male,JAM,Jamaica,"GUNNING, Michael James",M,29/04/1994,,,32,32,747,Gwangju,KOR
XXIII Juegos CAC-Barranquilla,02:03.23,25/07/2018,Men 200 Butterfly LCM Male,JAM,Jamaica,"GUNNING, Michael James",M,29/04/1994,,,33,33,740,Barranquilla,COL
29th Summer Universiade 2017,02:03.43,22/08/2017,Men 200 Butterfly LCM Male,JAM,Jamaica,"GUNNING, Michael James",M,29/04/1994,,,34,34,737,Taipei City,TPE
CA TYR/MVN Fran Crippen M2021,02:03.72,25/06/2021,Men 200 Butterfly LCM Male,JAM,Jamaica,"DOLS, Keanan",M,24/07/1998,,,35,35,716,Mission Viejo,USA
CA TYR/MVN Fran Crippen M2021,02:03.73,25/06/2021,Men 200 Butterfly LCM Male,JAM,Jamaica,"DOLS, Keanan",M,24/07/1998,,,36,36,716,Mission Viejo,USA
Mare Nostrum -  Meeting International de Canet-en-Roussillon 2015,02:04.11,07/06/2015,Men 200 Butterfly LCM Male,JAM,Jamaica,"GUNNING, Michael James",M,29/04/1994,,,37,37,725,Canet-en-Roussillon,FRA
Toyota US Open 2020,02:04.16,14/11/2020,Men 200 Butterfly LCM Male,JAM,Jamaica,"DOLS, Keanan",M,24/07/1998,,,38,38,709,Different Area,USA
Philipps 66 USA National Championships (50m),02:04.32,31/07/2019,Men 200 Butterfly LCM Male,JAM,Jamaica,"DOLS, Keanan",M,24/07/1998,,,39,39,721,Palo Alto,USA
British Swimming Glasgow Open Meet,02:04.38,04/06/2021,Men 200 Butterfly LCM Male,JAM,Jamaica,"GUNNING, Michael James",M,29/04/1994,,,40,40,705,Glasgow,GBR
British Swimming Glasgow Open Meet,02:04.52,04/06/2021,Men 200 Butterfly LCM Male,JAM,Jamaica,"GUNNING, Michael James",M,29/04/1994,,,41,41,703,Glasgow,GBR
Atlanta Classic 2021,02:04.76,15/05/2021,Men 200 Butterfly LCM Male,JAM,Jamaica,"DOLS, Keanan",M,24/07/1998,,,42,42,699,Atlanta,USA
Swimcup Amsterdam,02:04.94,14/12/2019,Men 200 Butterfly LCM Male,JAM,Jamaica,"GUNNING, Michael James",M,29/04/1994,,,43,43,710,Amsterdam,NED
Atlanta Classic 2021,02:05.01,15/05/2021,Men 200 Butterfly LCM Male,JAM,Jamaica,"DOLS, Keanan",M,24/07/1998,,,44,44,694,Atlanta,USA
Swimcup Amsterdam,02:07.23,14/12/2019,Men 200 Butterfly LCM Male,JAM,Jamaica,"GUNNING, Michael James",M,29/04/1994,,,45,45,673,Amsterdam,NED
Mission Viejo Swim Meet of Champions,02:07.23,21/06/2019,Men 200 Butterfly LCM Male,JAM,Jamaica,"DOLS, Keanan",M,24/07/1998,,,45,46,673,Mission Viejo,USA
TYR Pro Swim Series Des Moines,02:08.10,05/03/2020,Men 200 Butterfly LCM Male,JAM,Jamaica,"DOLS, Keanan",M,24/07/1998,,,47,47,645,Des Moines,USA
Mission Viejo Swim Meet of Champions,02:08.22,21/06/2019,Men 200 Butterfly LCM Male,JAM,Jamaica,"DOLS, Keanan",M,24/07/1998,,,48,48,657,Mission Viejo,USA
15th Pan American Games 2007,02:08.25,19/07/2007,Men 200 Butterfly LCM Male,JAM,Jamaica,"HAMILTON, Brad",M,20/11/1989,,,49,49,,Rio de Janeiro,BRA
TYR Pro Swim Series Des Moines,02:08.69,05/03/2020,Men 200 Butterfly LCM Male,JAM,Jamaica,"DOLS, Keanan",M,24/07/1998,,,50,50,637,Des Moines,USA
USA Winter National Championships (50m),02:09.08,07/12/2019,Men 200 Butterfly LCM Male,JAM,Jamaica,"DOLS, Keanan",M,24/07/1998,,,51,51,644,Atlanta,USA
TYR Pro Swim Series Greenboro,02:10.03,07/11/2019,Men 200 Butterfly LCM Male,JAM,Jamaica,"DOLS, Keanan",M,24/07/1998,,,52,52,630,Greenboro,USA
TYR Pro Swim Series Greenboro,02:10.30,07/11/2019,Men 200 Butterfly LCM Male,JAM,Jamaica,"DOLS, Keanan",M,24/07/1998,,,53,53,626,Greenboro,USA
20th Commonwealth Games 2014,02:11.51,26/07/2014,Men 200 Butterfly LCM Male,JAM,Jamaica,"WALTER, Dominic Anthony",M,17/12/1992,,,54,54,609,Glasgow,GBR
14th Pan American Games 2003,02:12.16,16/08/2003,Men 200 Butterfly LCM Male,JAM,Jamaica,"WONG, Timothy",M,,,,55,55,,Santo Domingo,DOM
UANA Qualifier For Tokyo hosted by Azura and Montverde Swimming 2021,02:13.34,02/05/2021,Men 200 Butterfly LCM Male,JAM,Jamaica,"WILLIAMS, Sidrell",M,07/05/1996,,,56,56,572,Orlando,USA
UANA Qualifier For Tokyo hosted by Azura and Montverde Swimming 2021,02:16.30,02/05/2021,Men 200 Butterfly LCM Male,JAM,Jamaica,"WILLIAMS, Sidrell",M,07/05/1996,,,57,57,536,Orlando,USA
34th CARIFTA Swimming Championships 2019,02:17.98,22/04/2019,Men 200 Butterfly LCM Male,JAM,Jamaica,"PAYNE, Jordane",M,05/06/2001,,,58,58,527,Bridgetown,BAR
32nd CCCAN Swimming Championships 2019,02:18.72,01/07/2019,Men 200 Butterfly LCM Male,JAM,Jamaica,"PAYNE, Jordane",M,05/06/2001,,,59,59,519,Bridgetown,BAR
34th CARIFTA Swimming Championships 2019,02:19.74,22/04/2019,Men 200 Butterfly LCM Male,JAM,Jamaica,"PAYNE, Jordane",M,05/06/2001,,,60,60,508,Bridgetown,BAR
Y Speedos Swim Club Karl Dalhouse Memorial Invitational Swim Meet 2019,02:20.45,26/01/2019,Men 200 Butterfly LCM Male,JAM,Jamaica,"PAYNE, Jordane",M,05/06/2001,,,61,61,500,Kingston,JAM
Tornadoes Invitational Swim Meet,02:24.79,26/05/2019,Men 200 Butterfly LCM Male,JAM,Jamaica,"PAYNE, Jordane",M,05/06/2001,,,62,62,456,Kingstown,JAM
2nd FINA World Junior Swimming Championships 2008,02:26.81,13/07/2008,Men 200 Butterfly LCM Male,JAM,Jamaica,"BROWN, Stefan",M,,,,63,63,465,Monterrey,MEX
Jamaican Junior National Championships (50m),02:28.93,23/02/2020,Men 200 Butterfly LCM Male,JAM,Jamaica,"CAMPBELL, Kito",M,14/06/2003,,,64,64,411,Kingston,JAM
34th CARIFTA Swimming Championships 2019,02:31.94,22/04/2019,Men 200 Butterfly LCM Male,JAM,Jamaica,"LYNCH, Jaedon",M,27/04/2005,,,65,65,395,Bridgetown,BAR
Kent ASA Swimming Championships 2020,02:31.96,19/01/2020,Men 200 Butterfly LCM Male,JAM,Jamaica,"LYNCH, Jaedon",M,27/04/2005,,,66,66,386,London,GBR
32nd CCCAN Swimming Championships 2019,02:34.92,01/07/2019,Men 200 Butterfly LCM Male,JAM,Jamaica,"LYNCH, Jaedon",M,27/04/2005,,,67,67,372,Bridgetown,BAR
Jamaican Junior National Championships (50m),02:34.95,23/02/2020,Men 200 Butterfly LCM Male,JAM,Jamaica,"LOZER, Kaheem",M,08/12/2004,,,68,68,364,Kingston,JAM
Walter Rogers Age Group Swimming National Championships 2019,02:36.68,24/02/2019,Men 200 Butterfly LCM Male,JAM,Jamaica,"PAYNE, Jordane",M,05/06/2001,,,69,69,360,Kingston,JAM
CCCAN Championships,02:40.87,26/06/2021,Men 200 Butterfly LCM Male,JAM,Jamaica,"JOHNSON, Zack-Andre",M,08/07/2008,,,70,70,326,San Juan,PUR
Jamaican Junior National Championships (50m),02:55.16,23/02/2020,Men 200 Butterfly LCM Male,JAM,Jamaica,"GYLES, Rin",M,20/02/2003,,,71,71,252,Kingston,JAM
Tornadoes Invitational Swim Meet,03:00.72,26/05/2019,Men 200 Butterfly LCM Male,JAM,Jamaica,"CAMPBELL, Kito",M,14/06/2003,,,72,72,234,Kingstown,JAM
Neville Alexander Memorial Swim Meet 2019,03:14.48,04/05/2019,Men 200 Butterfly LCM Male,JAM,Jamaica,"CAMPBELL, Kito",M,14/06/2003,,,73,73,188,Kingston,JAM
Walter Rogers Age Group Swimming National Championships 2019,03:18.98,24/02/2019,Men 200 Butterfly LCM Male,JAM,Jamaica,"CAMPBELL, Kito",M,14/06/2003,,,74,74,176,Kingston,JAM
